,SMILES,Ki (nM)
0,CNc1cc(OC)c(cc1Cl)C(=O)N[C@H]1CCN(Cc2ccccc2)[C@H]1C,0.001
1,Cc1nc[nH]c1CC1CCc2c(C)c3ccccc3n2C1=O,0.001
2,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1,0.001
3,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1,0.001
4,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1,0.0015
5,COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CC2CCCC1N2Cc1ccc(F)cc1,0.0017
6,CCN1CCC[C@H]1CNC(=O)c1cc(Br)cc(OC)c1OC,0.0018
7,CCN1CCC[C@H]1CNC(=O)c1c(O)c(I)cc(OC)c1OC,0.0019
8,CNc1cc(OC)c(cc1Cl)C(=O)N[C@H]1CCN(Cc2ccccc2)[C@H]1C,0.002
9,COc1cc(Br)cc(C(=O)NC2CC3CCCC(C2)N3Cc2ccc(F)cc2)c1OC,0.002
10,CCN1CCC[C@H]1CNC(=O)c1c(O)c(CC)cc(Cl)c1OC,0.002
11,CCN1CCC[C@H]1CNC(=O)c1cc(CCCF)cc(OC)c1OC,0.002
12,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1,0.002
13,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CN(Cc1ccccc1)C2=O)c1ccccc1,0.0023
14,CCCc1cc(OC)c(OC)c(C(=O)NC[C@@H]2CCCN2CC)c1O,0.0023
15,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CN(Cc1cccc(F)c1)C2=O)c1ccccc1,0.0023
16,COc1cc(Br)cc(C(=O)NC[C@H]2CCCN2Cc2ccccc2)c1OC,0.0024
17,CCN1CCC[C@H]1CNC(=O)c1cc(I)cc(OC)c1OC,0.0025
18,Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)n1c2ccccc2[nH]c1=O,0.0027
19,Oc1nc2ccccc2n1C1CCN(CCCC(=O)c2ccc(F)cc2)CC1,0.0027
20,COc1cccc(C(=O)NC2CC3CCCC(C2)N3Cc2ccc(F)cc2)c1OC,0.0028
21,CCCN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,0.0029
22,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1,0.003
23,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1,0.003
24,CCN1CCC[C@H]1CNC(=O)c1cc(I)cc(OC)c1OC,0.003
25,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1,0.003
26,CN(C)S(=O)(=O)c1ccc2Sc3ccccc3C(=CCCN3CCN(C)CC3)c2c1,0.003
27,CNc1cc(OC)c(cc1Cl)C(=O)N[C@H]1CCN(Cc2ccccc2)[C@H]1C,0.003
28,NC(=O)C1CCS[C@@H]2C[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,0.0031
29,CCN1CCC[C@H]1CNC(=O)c1c(O)c(CC)cc(OC)c1OC,0.0033
30,Cc1ccccc1CN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,0.0033
31,COc1cc(N)c(Cl)cc1C(=O)N1CC2CCCC(C1)N2Cc1ccccc1,0.0033
32,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CN(CCc1ccccc1)C2=O)c1ccccc1,0.0035
33,CCCCN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,0.0036
34,COc1cc(N)c(Cl)cc1C(=O)NC1CC2CCCC(C1)N2Cc1ccccc1,0.0036
35,COc1cccc(C(=O)NC2CC3CCCC(C2)N3Cc2ccccc2)c1OC,0.0038
36,CC(C)CN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,0.0039
37,O=c1[nH]c2cccc(N3CCN(Cc4cccc(c4)-c4ccccc4)CC3)c2o1,0.004
38,CC(C)C[C@H](NC(=O)[C@@H]1CCCN1)C(=O)NCC(N)=O,0.004
39,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1,0.004
40,CNc1cc(OC)c(cc1Cl)C(=O)N[C@H]1CCN(Cc2ccccc2)[C@H]1C,0.004
41,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc([C@@H]2C1)c34,0.004
42,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc([C@@H]2C1)c34,0.004
43,CC(C)C[C@H](NC(=O)[C@@H]1CCCN1)C(=O)NCC(N)=O,0.004
44,CCN1CCC[C@H]1CNC(=O)c1c(O)c(CC)cc(Cl)c1OC,0.004
45,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CN(Cc1ccccc1F)C2=O)c1ccccc1,0.0043
46,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1,0.0045
47,COc1ccccc1CN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,0.0047
48,CCN1CCC[C@H]1CNC(=O)c1cc(Br)cc(OC)c1OC,0.0003
49,CCN1CCC[C@H]1CNC(=O)c1cc(I)cc(OC)c1OC,0.001
50,CNc1cc(OC)c(cc1Cl)C(=O)N[C@H]1CCN(Cc2ccccc2)[C@H]1C,0.001
51,Cc1nc[nH]c1CC1CCc2c(C)c3ccccc3n2C1=O,0.001
52,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1,0.001
53,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1,0.001
54,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1,0.0015
55,COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CC2CCCC1N2Cc1ccc(F)cc1,0.0017
56,CCN1CCC[C@H]1CNC(=O)c1cc(Br)cc(OC)c1OC,0.0018
57,CCN1CCC[C@H]1CNC(=O)c1c(O)c(I)cc(OC)c1OC,0.0019
58,CNc1cc(OC)c(cc1Cl)C(=O)N[C@H]1CCN(Cc2ccccc2)[C@H]1C,0.002
59,COc1cc(Br)cc(C(=O)NC2CC3CCCC(C2)N3Cc2ccc(F)cc2)c1OC,0.002
60,CCN1CCC[C@H]1CNC(=O)c1c(O)c(CC)cc(Cl)c1OC,0.002
61,CCN1CCC[C@H]1CNC(=O)c1cc(CCCF)cc(OC)c1OC,0.002
62,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1,0.002
63,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CN(Cc1ccccc1)C2=O)c1ccccc1,0.0023
64,CCCc1cc(OC)c(OC)c(C(=O)NC[C@@H]2CCCN2CC)c1O,0.0023
65,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CN(Cc1cccc(F)c1)C2=O)c1ccccc1,0.0023
66,COc1cc(Br)cc(C(=O)NC[C@H]2CCCN2Cc2ccccc2)c1OC,0.0024
67,CCN1CCC[C@H]1CNC(=O)c1cc(I)cc(OC)c1OC,0.0025
68,Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)n1c2ccccc2[nH]c1=O,0.0027
69,Oc1nc2ccccc2n1C1CCN(CCCC(=O)c2ccc(F)cc2)CC1,0.0027
70,COc1cccc(C(=O)NC2CC3CCCC(C2)N3Cc2ccc(F)cc2)c1OC,0.0028
71,CCCN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,0.0029
72,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1,0.003
73,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1,0.003
74,CCN1CCC[C@H]1CNC(=O)c1cc(I)cc(OC)c1OC,0.003
75,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1,0.003
76,CN(C)S(=O)(=O)c1ccc2Sc3ccccc3C(=CCCN3CCN(C)CC3)c2c1,0.003
77,CNc1cc(OC)c(cc1Cl)C(=O)N[C@H]1CCN(Cc2ccccc2)[C@H]1C,0.003
78,NC(=O)C1CCS[C@@H]2C[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,0.0031
79,CCN1CCC[C@H]1CNC(=O)c1c(O)c(CC)cc(OC)c1OC,0.0033
80,Cc1ccccc1CN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,0.0033
81,COc1cc(N)c(Cl)cc1C(=O)N1CC2CCCC(C1)N2Cc1ccccc1,0.0033
82,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CN(CCc1ccccc1)C2=O)c1ccccc1,0.0035
83,CCCCN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,0.0036
84,COc1cc(N)c(Cl)cc1C(=O)NC1CC2CCCC(C1)N2Cc1ccccc1,0.0036
85,COc1cccc(C(=O)NC2CC3CCCC(C2)N3Cc2ccccc2)c1OC,0.0038
86,CC(C)CN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,0.0039
87,O=c1[nH]c2cccc(N3CCN(Cc4cccc(c4)-c4ccccc4)CC3)c2o1,0.004
88,CC(C)C[C@H](NC(=O)[C@@H]1CCCN1)C(=O)NCC(N)=O,0.004
89,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1,0.004
90,CNc1cc(OC)c(cc1Cl)C(=O)N[C@H]1CCN(Cc2ccccc2)[C@H]1C,0.004
91,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc([C@@H]2C1)c34,0.004
92,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc([C@@H]2C1)c34,0.004
93,CC(C)C[C@H](NC(=O)[C@@H]1CCCN1)C(=O)NCC(N)=O,0.004
94,CCN1CCC[C@H]1CNC(=O)c1c(O)c(CC)cc(Cl)c1OC,0.004
95,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CN(Cc1ccccc1F)C2=O)c1ccccc1,0.0043
96,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1,0.0045
97,COc1ccccc1CN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,0.0047
98,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc([C@@H]2C1)c34,0.005
99,COc1cc(I)cc(C(=O)NC2CC3CCCC(C2)N3Cc2ccccc2)c1OC,0.005
100,CCN1CCC[C@H]1CNC(=O)c1cc(I)cc(OC)c1OC,0.005
101,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1,0.005
102,NC(=O)[C@H]1CS[C@@H]2CC[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,0.005
103,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc([C@@H]2C1)c34,0.005
104,NC(=O)CN1CCC(N2CC(=O)N3CCC[C@H]3C2=O)C1=O,0.005
105,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1,0.005
106,OC1(C[C@@H]2CC[C@H](C1)N2CCCC(=O)c1ccc(F)cc1)c1ccc(Cl)cc1,0.0052481
107,OC1(C[C@@H]2CC[C@H](C1)N2CCCC(=O)c1ccc(F)cc1)c1ccc(Cl)cc1,0.0052481
108,CCCN1CCc2cc(O)cc-3c2[C@H]1Cc1ccc(O)c(O)c-31,0.0053
109,CCCN1CCc2cc(O)cc-3c2[C@H]1Cc1ccc(O)c(O)c-31,0.0053
110,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1,0.0053
111,CCN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,0.0057
112,O=C1NCc2ccc(OCCCCN3CCN(CC3)c3cccc4CCCc34)cc12,0.00575
113,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1,0.0058
114,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1,0.006
115,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1,0.006
116,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1,0.006
117,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1,0.006
118,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1,0.006
119,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1,0.006
120,CCN1CCC[C@H]1CNC(=O)c1c(O)c(CC)cc(Cl)c1OC,0.006
121,CCN1CCC[C@H]1CNC(=O)c1cc(I)cc(OC)c1OC,0.006
122,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1,0.006
123,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1,0.006
124,CCCN(CCc1cccs1)[C@H]1CCc2c(O)cccc2C1,0.006
125,CC(C)C[C@H](NC(=O)[C@@H]1CCCN1)C(=O)NCC(N)=O,0.006
126,COc1ccccc1N1CCN(CCCCc2ccc3N(CCN4CCC(CC4)C(=O)c4ccc(F)cc4)C(=O)OCc3c2)CC1,0.006
127,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1,0.006
128,CCCN(CCc1cccs1)[C@H]1CCc2c(O)cccc2C1,0.006
129,CCCCCN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,0.0062
130,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CN(Cc1ccccc1I)C2=O)c1ccccc1,0.0063
131,CC(C)CCN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,0.0063
132,NC(=O)C1CCS[C@@H]2C[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,0.0064
133,CCN1CCC[C@H]1CNC(=O)c1c(O)c(Br)cc(OC)c1OC,0.0064
134,CCN1CCC[C@H]1CNC(=O)c1c(O)c(Br)cc(OC)c1OC,0.0064
135,NC(=O)[C@H]1CS[C@@H]2CC(N3CC(=O)N4CCC[C@H]4C3=O)C(=O)N12,0.0066
136,Cc1ccc(CN2CN(c3ccccc3)C3(CCN(CCCC(=O)c4ccc(F)cc4)CC3)C2=O)cc1,0.0067
137,NC(=O)[C@H]1CS[C@@H]2CC(N3CC(=O)N4CCC[C@H]4C3=O)C(=O)N12,0.0067
138,NC(=O)[C@H]1CS[C@@H]2CC[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,0.0067
139,CC(C)C[C@H](N1CC(=O)N2CCC[C@H]2C1=O)C(=O)NCC(N)=O,0.0068
